epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,8950.82,0.74151,1.17669,0.48656,1.04638,0.68552,0.70586,0.71383,0.4254,0.64751,0.74097,0.68879,0.38991,1.4725,2.37395,0.92967,1.83375,0.0008045,0.0008045,0.0008045
74,9063,0.74619,1.17032,0.49234,1.04341,0.68749,0.73241,0.68808,0.40363,0.71083,0.71883,0.68878,0.37864,1.43912,2.45798,0.94123,1.82826,0.000798313,0.000798313,0.000798313
75,9175.34,0.74594,1.18188,0.48614,1.03272,0.75645,0.70861,0.72517,0.40304,0.75289,0.70524,0.71233,0.40204,1.51212,2.49831,1.00484,1.8804,0.000792125,0.000792125,0.000792125
76,9287.45,0.72715,1.15888,0.48033,1.03789,0.64435,0.7238,0.66409,0.38306,0.65603,0.73508,0.68513,0.37366,1.55396,2.56909,0.98852,1.96243,0.000785938,0.000785938,0.000785938
77,9399.55,0.73207,1.13591,0.47307,1.04021,0.71124,0.7133,0.70788,0.42903,0.71124,0.7133,0.7045,0.39654,1.44664,2.50787,0.97971,1.85164,0.00077975,0.00077975,0.00077975
78,9511.81,0.72656,1.14061,0.468,1.03273,0.72941,0.70536,0.71304,0.40359,0.72306,0.69825,0.6987,0.37873,1.45244,2.35995,0.9967,1.82158,0.000773563,0.000773563,0.000773563
79,9624,0.70589,1.11437,0.46269,1.01982,0.69282,0.70659,0.7161,0.40814,0.72727,0.67698,0.71849,0.38931,1.46759,2.5656,0.95269,1.82565,0.000767375,0.000767375,0.000767375
80,9736.12,0.71989,1.15354,0.46542,1.026,0.709,0.73877,0.69995,0.41694,0.70339,0.75963,0.70662,0.39347,1.4025,2.35254,0.91404,1.75946,0.000761188,0.000761188,0.000761188
81,9848.45,0.71363,1.14936,0.45845,1.01927,0.68949,0.77404,0.72076,0.42696,0.68727,0.77151,0.71261,0.39883,1.52938,2.59598,0.88937,1.92645,0.000755,0.000755,0.000755
82,9960.67,0.69483,1.12207,0.4443,1.01686,0.7127,0.69424,0.68779,0.40828,0.72684,0.69744,0.69719,0.38704,1.41268,2.42032,0.9773,1.71341,0.000748813,0.000748813,0.000748813
83,10072.9,0.7103,1.13044,0.46485,1.02146,0.67103,0.73573,0.68484,0.41186,0.67187,0.73632,0.6816,0.37702,1.44035,2.54083,0.94958,1.88286,0.000742625,0.000742625,0.000742625
